"","Region","Year","Beauty Expenditure Total"
"1","Europe",2000,394410532371.491
"2","Europe",2001,404810808185.16
"3","Europe",2002,414720661314.066
"4","Europe",2003,426714661118.748
"5","Europe",2004,443458199271.852
"6","Europe",2005,460615521801.356
"7","Europe",2006,478698999053.306
"8","Europe",2007,500818061420.025
"9","Europe",2008,513123750573.434
"10","Europe",2009,504399051455.394
"11","Europe",2010,517109302378.691
"12","Europe",2011,528951539547.664
"13","Europe",2012,536334306715.055
"14","Europe",2013,544831635690.342
"15","Europe",2014,553359146453.604
"16","Europe",2015,557568163693.82
"17","Europe",2016,569213332254.859
"18","Europe",2017,585934370010.153
"19","Europe",2018,600974618259.003
"20","Europe",2019,614679575462.368
"21","Europe",2020,577578466650.976
"22","Europe",2021,612002700066.171
"23","Europe",2022,627189841437.007
"24","Europe",2023,633886864382.71
"25","Europe",2024,646617357366.165
"26","Europe",2025,661647919092.343
"27","Europe",2026,676272395233.358
"28","Europe",2027,690397065644.814
"29","Europe",2028,704547993693.665
"30","Europe",2029,719003237670.909
"31","Europe",2030,733732799334.961
"32","Europe",2031,748768727148.864
"33","Europe",2032,764046557214.805
"34","Europe",2033,779560511938.772
"35","Europe",2034,795307019553.863
"36","Latin",2000,99138143289.2573
"37","Latin",2001,100183021840.185
"38","Latin",2002,99978582976.231
"39","Latin",2003,102094629709.052
"40","Latin",2004,107418057767.59
"41","Latin",2005,113095902716.29
"42","Latin",2006,120318452572.434
"43","Latin",2007,127270575747.758
"44","Latin",2008,133368105441.048
"45","Latin",2009,133154230761.389
"46","Latin",2010,141236587015.291
"47","Latin",2011,148861694231.547
"48","Latin",2012,154096582714.043
"49","Latin",2013,159577024311.866
"50","Latin",2014,162707998256.696
"51","Latin",2015,164253840934.856
"52","Latin",2016,164413379642.79
"53","Latin",2017,168875825382.453
"54","Latin",2018,172090862180.166
"55","Latin",2019,173641441474.838
"56","Latin",2020,160422234625.97
"57","Latin",2021,172650736085.228
"58","Latin",2022,179528034437.951
"59","Latin",2023,182575556741.692
"60","Latin",2024,186786499179.804
"61","Latin",2025,191531445810.247
"62","Latin",2026,196686878860.217
"63","Latin",2027,201753417323.926
"64","Latin",2028,206989151420.141
"65","Latin",2029,212371625302.126
"66","Latin",2030,217880045996.922
"67","Latin",2031,223529541541.873
"68","Latin",2032,229312193006.372
"69","Latin",2033,235232076824.632
"70","Latin",2034,241290351739.426
"71","North America",2000,252213089872.354
"72","North America",2001,258396943163.272
"73","North America",2002,265129868181.981
"74","North America",2003,273294303114.288
"75","North America",2004,284477468680.716
"76","North America",2005,295790599568.916
"77","North America",2006,306332289039.818
"78","North America",2007,316054549790.498
"79","North America",2008,319502460876.186
"80","North America",2009,318132627048.352
"81","North America",2010,326652863546.35
"82","North America",2011,333920636059.441
"83","North America",2012,340111689872.985
"84","North America",2013,346990851771.984
"85","North America",2014,357832109724.244
"86","North America",2015,370494813433.816
"87","North America",2016,381362367282.099
"88","North America",2017,392766944282.209
"89","North America",2018,405770887845.732
"90","North America",2019,415789413891.4
"91","North America",2020,405703049961.339
"92","North America",2021,438623955459.337
"93","North America",2022,450265133305.984
"94","North America",2023,459725320439.724
"95","North America",2024,467260740251.036
"96","North America",2025,477970804564.177
"97","North America",2026,489950706969.47
"98","North America",2027,502466175534.594
"99","North America",2028,515305922326.994
"100","North America",2029,528338046362.635
"101","North America",2030,541545455494.227
"102","North America",2031,555021363052.648
"103","North America",2032,568656762867.17
"104","North America",2033,582449519375.713
"105","North America",2034,596397205503.866
"106","North Asia",2000,155940418882.581
"107","North Asia",2001,162011370336.846
"108","North Asia",2002,169243853651.204
"109","North Asia",2003,173209228463.5
"110","North Asia",2004,179599599217.204
"111","North Asia",2005,188934073395.069
"112","North Asia",2006,198169371721.686
"113","North Asia",2007,211107845957.961
"114","North Asia",2008,218476104430.526
"115","North Asia",2009,226318308750.703
"116","North Asia",2010,242239133058.158
"117","North Asia",2011,260242299155.775
"118","North Asia",2012,275257327271.555
"119","North Asia",2013,291532097186.949
"120","North Asia",2014,306420246758.916
"121","North Asia",2015,322629028494.843
"122","North Asia",2016,339969645017.951
"123","North Asia",2017,361971738192.783
"124","North Asia",2018,382565317039.369
"125","North Asia",2019,398229897023.025
"126","North Asia",2020,385115194272.682
"127","North Asia",2021,421575404907.542
"128","North Asia",2022,432442985469.306
"129","North Asia",2023,451140159339.075
"130","North Asia",2024,468994696358.109
"131","North Asia",2025,485832090872.155
"132","North Asia",2026,503428446349.766
"133","North Asia",2027,520449299580.212
"134","North Asia",2028,537500507620.977
"135","North Asia",2029,554875219087.061
"136","North Asia",2030,572726908746.824
"137","North Asia",2031,590037867026.154
"138","North Asia",2032,607568361089.613
"139","North Asia",2033,625344117855.719
"140","North Asia",2034,643347360959.084
"141","SAPMENA",2000,183932073203.654
"142","SAPMENA",2001,191878381197.178
"143","SAPMENA",2002,199662048713.638
"144","SAPMENA",2003,211323354433.356
"145","SAPMENA",2004,226028863780.952
"146","SAPMENA",2005,240486416878.891
"147","SAPMENA",2006,254411050972.128
"148","SAPMENA",2007,273052108526.085
"149","SAPMENA",2008,287326011937.494
"150","SAPMENA",2009,294732805070.467
"151","SAPMENA",2010,308148681694.737
"152","SAPMENA",2011,323447103996.501
"153","SAPMENA",2012,342182874247.859
"154","SAPMENA",2013,358396740871.437
"155","SAPMENA",2014,377316092364.004
"156","SAPMENA",2015,394773677295.323
"157","SAPMENA",2016,416644259797.134
"158","SAPMENA",2017,438748161905.278
"159","SAPMENA",2018,462284506217.955
"160","SAPMENA",2019,482671515325.179
"161","SAPMENA",2020,468288194644.516
"162","SAPMENA",2021,492091698010.508
"163","SAPMENA",2022,521854726475.915
"164","SAPMENA",2023,545750553290.943
"165","SAPMENA",2024,574273996083.958
"166","SAPMENA",2025,604859676026.187
"167","SAPMENA",2026,637416375559.159
"168","SAPMENA",2027,671936026780.63
"169","SAPMENA",2028,708707899724.318
"170","SAPMENA",2029,747220160298.269
"171","SAPMENA",2030,787463923760.821
"172","SAPMENA",2031,829339590968.361
"173","SAPMENA",2032,872909752945.506
"174","SAPMENA",2033,918413848409.257
"175","SAPMENA",2034,965827068818.574
"176","Sub-Sahara Africa",2000,31790514171.6313
"177","Sub-Sahara Africa",2001,34784170173.3845
"178","Sub-Sahara Africa",2002,36960479127.3751
"179","Sub-Sahara Africa",2003,38268936918.6322
"180","Sub-Sahara Africa",2004,40133106839.2167
"181","Sub-Sahara Africa",2005,42394973802.1933
"182","Sub-Sahara Africa",2006,43912356388.6555
"183","Sub-Sahara Africa",2007,49256691668.3272
"184","Sub-Sahara Africa",2008,50377166006.762
"185","Sub-Sahara Africa",2009,53615076409.3146
"186","Sub-Sahara Africa",2010,56949123675.4137
"187","Sub-Sahara Africa",2011,59495810560.4801
"188","Sub-Sahara Africa",2012,60883223456.8891
"189","Sub-Sahara Africa",2013,67120997257.5489
"190","Sub-Sahara Africa",2014,69441865966.5983
"191","Sub-Sahara Africa",2015,73943783580.1284
"192","Sub-Sahara Africa",2016,75776208344.1364
"193","Sub-Sahara Africa",2017,77215576394.9465
"194","Sub-Sahara Africa",2018,79100305362.0842
"195","Sub-Sahara Africa",2019,81506579816.2952
"196","Sub-Sahara Africa",2020,78811898050.0586
"197","Sub-Sahara Africa",2021,81428422637.1284
"198","Sub-Sahara Africa",2022,84746608590.0628
"199","Sub-Sahara Africa",2023,87887204396.9248
"200","Sub-Sahara Africa",2024,91729684251.0675
"201","Sub-Sahara Africa",2025,95729528086.528
"202","Sub-Sahara Africa",2026,99900526664.616
"203","Sub-Sahara Africa",2027,104403663212.344
"204","Sub-Sahara Africa",2028,109202099458.049
"205","Sub-Sahara Africa",2029,114256721490.411
"206","Sub-Sahara Africa",2030,119596910671.798
"207","Sub-Sahara Africa",2031,125189648798.481
"208","Sub-Sahara Africa",2032,131079228993.193
"209","Sub-Sahara Africa",2033,137282955745.883
"210","Sub-Sahara Africa",2034,143809479829.489
